quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-11682.0,-9403.0,-9579.0,-9436.0,-12819.0,-12243.0,-9758.0,-15333.0,-9041.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0
total costs [$],-9510.0,-6246.0,12871.0,-12468.0,-17529.0,-25258.0,-10959.0,-18635.0,-12837.0
total future costs [$],-22778.0,-20498.0,-20675.0,-20532.0,-23915.0,-23338.0,-20853.0,-26428.0,-20137.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-9249.0,-7444.0,-7584.0,-7471.0,-10149.0,-9692.0,-7725.0,-12139.0,-7158.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0
total present value costs [$],-5970.0,-3181.0,15972.0,-9397.0,-13753.0,-21603.0,-7820.0,-14335.0,-9848.0
total present value future costs [$],-19238.0,-17434.0,-17573.0,-17460.0,-20139.0,-19683.0,-17714.0,-22128.0,-17148.0
total emissions [tCO$_2$-eq.],3.8699999999999974,4.799999999999997,2.3299999999999983,6.970000000000006,5.82,4.3799999999999955,16.330000000000005,2.440000000000005,3.5600000000000023
