quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-12834.0,-10303.0,-10692.0,-10186.0,-13888.0,-13387.0,-9684.0,-16895.0,-9980.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0
total costs [$],-6656.0,-3139.0,15764.0,-9212.0,-14592.0,-22396.0,-6879.0,-16191.0,-9771.0
total future costs [$],-19924.0,-17392.0,-17782.0,-17276.0,-20978.0,-20476.0,-16773.0,-23984.0,-17071.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0
total present value operations costs [$],-9274.0,-7444.0,-7726.0,-7360.0,-10036.0,-9673.0,-6997.0,-12207.0,-7212.0
total present value insurance costs [$],901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
total present value maintenance costs [$],-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0
total present value costs [$],-1448.0,1366.0,20378.0,-4739.0,-9091.0,-17035.0,-2545.0,-9856.0,-5354.0
total present value future costs [$],-14716.0,-12886.0,-13167.0,-12803.0,-15477.0,-15115.0,-12439.0,-17649.0,-12654.0
total emissions [tCO$_2$-eq.],-28.799999999999997,-21.4,-23.000000000000004,-20.299999999999997,-31.700000000000003,-30.5,-18.799999999999997,-40.49999999999999,-21.300000000000004
