quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-12725.0,-10215.0,-10601.0,-10100.0,-13771.0,-13274.0,-9602.0,-16751.0,-9896.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0
total costs [$],-6487.0,-2993.0,15913.0,-9067.0,-14415.0,-22224.0,-6738.0,-15988.0,-9627.0
total future costs [$],-19755.0,-17245.0,-17632.0,-17130.0,-20801.0,-20304.0,-16632.0,-23781.0,-16927.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0
total present value operations costs [$],-9195.0,-7381.0,-7660.0,-7298.0,-9951.0,-9591.0,-6938.0,-12104.0,-7151.0
total present value insurance costs [$],901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
total present value maintenance costs [$],-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0
total present value costs [$],-1326.0,1472.0,20486.0,-4633.0,-8964.0,-16910.0,-2444.0,-9711.0,-5250.0
total present value future costs [$],-14594.0,-12781.0,-13060.0,-12697.0,-15349.0,-14990.0,-12338.0,-17504.0,-12550.0
total emissions [tCO$_2$-eq.],-28.529999999999994,-21.189999999999998,-22.76,-20.099999999999994,-31.390000000000008,-30.15,-18.549999999999997,-40.07,-21.070000000000004
