quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-15251.0,-12221.0,-12843.0,-11956.0,-16344.0,-15857.0,-10661.0,-20116.0,-11900.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0
total costs [$],-9014.0,-4999.0,13672.0,-10923.0,-16989.0,-24807.0,-7797.0,-19353.0,-11630.0
total future costs [$],-22282.0,-19251.0,-19873.0,-18986.0,-23375.0,-22887.0,-17691.0,-27146.0,-18930.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0
total present value operations costs [$],-11020.0,-8830.0,-9280.0,-8640.0,-11810.0,-11457.0,-7704.0,-14536.0,-8599.0
total present value insurance costs [$],901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
total present value maintenance costs [$],-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0
total present value costs [$],-3151.0,23.0,18866.0,-5975.0,-10824.0,-18777.0,-3208.0,-12142.0,-6697.0
total present value future costs [$],-16419.0,-14230.0,-14679.0,-14038.0,-17209.0,-16857.0,-13102.0,-19935.0,-13997.0
total emissions [tCO$_2$-eq.],-40.22,-30.749999999999996,-31.490000000000002,-30.479999999999997,-45.230000000000004,-42.73,-33.65,-55.17,-29.880000000000003
