quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-17746.0,-14283.0,-14552.0,-14335.0,-19474.0,-18597.0,-14823.0,-23292.0,-13735.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6760.0,-6760.0,-6760.0,-6760.0,-6760.0,-6760.0,-6760.0,-6760.0,-6760.0
total costs [$],-11379.0,-6932.0,12093.0,-13173.0,-19989.0,-27418.0,-11830.0,-22400.0,-13336.0
total future costs [$],-24647.0,-21184.0,-21452.0,-21236.0,-26375.0,-25498.0,-21724.0,-30193.0,-20636.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0
total present value operations costs [$],-12823.0,-10321.0,-10515.0,-10359.0,-14072.0,-13438.0,-10711.0,-16830.0,-9925.0
total present value insurance costs [$],901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
total present value maintenance costs [$],-4885.0,-4885.0,-4885.0,-4885.0,-4885.0,-4885.0,-4885.0,-4885.0,-4885.0
total present value costs [$],-4860.0,-1374.0,17725.0,-7600.0,-12991.0,-20664.0,-6122.0,-14343.0,-7930.0
total present value future costs [$],-18128.0,-15627.0,-15821.0,-15663.0,-19377.0,-18744.0,-16016.0,-22136.0,-15230.0
total emissions [tCO$_2$-eq.],3.6200000000000045,5.030000000000001,1.2800000000000011,8.329999999999998,6.579999999999998,4.409999999999997,22.560000000000002,1.4500000000000028,3.1400000000000006
