quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-14495.0,-11665.0,-11894.0,-11700.0,-15897.0,-15188.0,-12058.0,-19028.0,-11221.0
total insurance costs [$],1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
total maintenance costs [$],-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0
total costs [$],-13615.0,-9801.0,9263.0,-16025.0,-21899.0,-29496.0,-14552.0,-23623.0,-16309.0
total future costs [$],-26883.0,-24053.0,-24282.0,-24088.0,-28285.0,-27576.0,-24446.0,-31416.0,-23609.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-11023.0,-8871.0,-9045.0,-8898.0,-12089.0,-11550.0,-9170.0,-14470.0,-8533.0
total present value insurance costs [$],781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0
total present value maintenance costs [$],-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0
total present value costs [$],-8615.0,-5479.0,13641.0,-11694.0,-16564.0,-24330.0,-10136.0,-17537.0,-12093.0
total present value future costs [$],-21883.0,-19732.0,-19905.0,-19758.0,-22950.0,-22410.0,-20030.0,-25330.0,-19393.0
total emissions [tCO$_2$-eq.],-41.4,-31.9,-32.0,-32.2,-47.0,-44.1,-37.900000000000006,-56.400000000000006,-30.599999999999998
