quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-20934.0,-16868.0,-17048.0,-17039.0,-23110.0,-21983.0,-18217.0,-27441.0,-16169.0
total insurance costs [$],1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
total maintenance costs [$],-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0
total costs [$],-20054.0,-15004.0,4109.0,-21363.0,-29113.0,-36291.0,-20712.0,-32038.0,-21257.0
total future costs [$],-33322.0,-29257.0,-29436.0,-29427.0,-35498.0,-34371.0,-30606.0,-39831.0,-28557.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0
total present value operations costs [$],-18175.0,-14645.0,-14800.0,-14792.0,-20064.0,-19085.0,-15816.0,-23825.0,-14038.0
total present value insurance costs [$],891.0,891.0,891.0,891.0,891.0,891.0,891.0,891.0,891.0
total present value maintenance costs [$],-5136.0,-5136.0,-5136.0,-5136.0,-5136.0,-5136.0,-5136.0,-5136.0,-5136.0
total present value costs [$],-16468.0,-11954.0,7184.0,-18290.0,-25240.0,-32567.0,-17482.0,-27592.0,-18298.0
total present value future costs [$],-29736.0,-26207.0,-26362.0,-26353.0,-31625.0,-30647.0,-27376.0,-35385.0,-25598.0
total emissions [tCO$_2$-eq.],-41.4,-31.9,-32.0,-32.2,-47.0,-44.1,-37.900000000000006,-56.400000000000006,-30.599999999999998
