quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-9062.0,-7262.0,-7631.0,-7104.0,-9711.0,-9422.0,-6335.0,-11953.0,-7070.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0
total costs [$],-6534.0,-3749.0,15175.0,-9780.0,-14065.0,-22082.0,-7180.0,-14900.0,-10510.0
total future costs [$],-19802.0,-18001.0,-18371.0,-17844.0,-20451.0,-20162.0,-17074.0,-22693.0,-17810.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-7175.0,-5749.0,-6041.0,-5624.0,-7689.0,-7460.0,-5015.0,-9464.0,-5598.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0
total present value costs [$],-3614.0,-1204.0,17797.0,-7269.0,-11011.0,-19087.0,-4829.0,-11378.0,-8005.0
total present value future costs [$],-16882.0,-15456.0,-15749.0,-15332.0,-17396.0,-17167.0,-14723.0,-19171.0,-15305.0
total emissions [tCO$_2$-eq.],-22.13,-16.51,-16.94,-16.349999999999998,-25.110000000000003,-23.629999999999995,-18.240000000000002,-31.019999999999996,-15.990000000000002
