quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-16269.0,-13088.0,-13383.0,-13097.0,-17805.0,-17034.0,-13330.0,-21367.0,-12604.0
total insurance costs [$],1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
total maintenance costs [$],-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0
total costs [$],-15390.0,-11224.0,7774.0,-17422.0,-23807.0,-31343.0,-15824.0,-25962.0,-17692.0
total future costs [$],-28658.0,-25476.0,-25772.0,-25486.0,-30193.0,-29423.0,-25718.0,-33755.0,-24992.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0
total present value operations costs [$],-14125.0,-11363.0,-11619.0,-11370.0,-15458.0,-14789.0,-11572.0,-18550.0,-10942.0
total present value insurance costs [$],891.0,891.0,891.0,891.0,891.0,891.0,891.0,891.0,891.0
total present value maintenance costs [$],-5136.0,-5136.0,-5136.0,-5136.0,-5136.0,-5136.0,-5136.0,-5136.0,-5136.0
total present value costs [$],-12418.0,-8672.0,10366.0,-14868.0,-20633.0,-28270.0,-13240.0,-22318.0,-15204.0
total present value future costs [$],-25686.0,-22924.0,-23180.0,-22931.0,-27019.0,-26350.0,-23134.0,-30111.0,-22504.0
total emissions [tCO$_2$-eq.],-23.9,-17.599999999999998,-18.900000000000002,-16.6,-26.300000000000004,-25.200000000000003,-15.300000000000004,-33.800000000000004,-17.499999999999996
