quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-15381.0,-12326.0,-12952.0,-12058.0,-16484.0,-15992.0,-10752.0,-20289.0,-12001.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0
total costs [$],-9203.0,-5162.0,13503.0,-11085.0,-17188.0,-25002.0,-7947.0,-19585.0,-11791.0
total future costs [$],-22471.0,-19415.0,-20042.0,-19148.0,-23573.0,-23082.0,-17841.0,-27378.0,-19091.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0
total present value operations costs [$],-11114.0,-8905.0,-9359.0,-8713.0,-11911.0,-11555.0,-7769.0,-14660.0,-8672.0
total present value insurance costs [$],901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
total present value maintenance costs [$],-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0
total present value costs [$],-3289.0,-95.0,18745.0,-6092.0,-10967.0,-18917.0,-3318.0,-12309.0,-6814.0
total present value future costs [$],-16557.0,-14348.0,-14801.0,-14155.0,-17353.0,-16997.0,-13212.0,-20102.0,-14114.0
total emissions [tCO$_2$-eq.],-40.6,-31.1,-31.800000000000004,-30.799999999999997,-45.7,-43.2,-34.0,-55.699999999999996,-30.200000000000003
