quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-10244.0,-8209.0,-8626.0,-8031.0,-10978.0,-10651.0,-7160.0,-13512.0,-7993.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4628.0,-4628.0,-4628.0,-4628.0,-4628.0,-4628.0,-4628.0,-4628.0,-4628.0
total costs [$],-8250.0,-5229.0,13645.0,-11241.0,-15866.0,-23845.0,-8540.0,-16992.0,-11967.0
total future costs [$],-21518.0,-19482.0,-19900.0,-19305.0,-22252.0,-21925.0,-18434.0,-24785.0,-19267.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-8110.0,-6499.0,-6829.0,-6358.0,-8692.0,-8432.0,-5669.0,-10697.0,-6328.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3664.0,-3664.0,-3664.0,-3664.0,-3664.0,-3664.0,-3664.0,-3664.0,-3664.0
total present value costs [$],-4973.0,-2377.0,16585.0,-8425.0,-12436.0,-20483.0,-5905.0,-13035.0,-9158.0
total present value future costs [$],-18241.0,-16629.0,-16960.0,-16488.0,-18822.0,-18563.0,-15799.0,-20828.0,-16458.0
total emissions [tCO$_2$-eq.],-25.58,-19.22,-19.720000000000002,-19.05,-28.96,-27.269999999999996,-21.169999999999998,-35.629999999999995,-18.639999999999997
