quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-18950.0,-15245.0,-15588.0,-15255.0,-20738.0,-19840.0,-15525.0,-24886.0,-14681.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0
total costs [$],-12712.0,-8022.0,10927.0,-14221.0,-21383.0,-28792.0,-12663.0,-24124.0,-14411.0
total future costs [$],-25980.0,-22275.0,-22618.0,-22285.0,-27768.0,-26872.0,-22557.0,-31917.0,-21711.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1208.0,-1208.0,-1208.0,-1208.0,-1208.0,-1208.0,-1208.0,-1208.0,-1208.0
total present value operations costs [$],-8139.0,-6547.0,-6695.0,-6552.0,-8906.0,-8521.0,-6668.0,-10688.0,-6305.0
total present value insurance costs [$],536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0
total present value maintenance costs [$],-2959.0,-2959.0,-2959.0,-2959.0,-2959.0,-2959.0,-2959.0,-2959.0,-2959.0
total present value costs [$],1499.0,4075.0,23220.0,-2118.0,-6151.0,-14072.0,-404.0,-6526.0,-2635.0
total present value future costs [$],-11769.0,-10178.0,-10325.0,-10182.0,-12537.0,-12152.0,-10298.0,-14319.0,-9935.0
total emissions [tCO$_2$-eq.],-28.529999999999994,-21.189999999999998,-22.76,-20.099999999999994,-31.390000000000008,-30.15,-18.549999999999997,-40.07,-21.070000000000004
