quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-13812.0,-11096.0,-11456.0,-11017.0,-15006.0,-14426.0,-10737.0,-18166.0,-10727.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0
total costs [$],-11295.0,-7595.0,11339.0,-13705.0,-19372.0,-27098.0,-11595.0,-21125.0,-14178.0
total future costs [$],-24563.0,-21848.0,-22206.0,-21769.0,-25758.0,-25178.0,-21489.0,-28918.0,-21478.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-10935.0,-8785.0,-9069.0,-8723.0,-11880.0,-11421.0,-8500.0,-14382.0,-8492.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0
total present value costs [$],-7384.0,-4249.0,14759.0,-10376.0,-15211.0,-23058.0,-8324.0,-16307.0,-10910.0
total present value future costs [$],-20652.0,-18502.0,-18786.0,-18439.0,-21597.0,-21138.0,-18218.0,-24100.0,-18210.0
total emissions [tCO$_2$-eq.],-22.200000000000003,-16.599999999999998,-17.000000000000004,-16.4,-25.2,-23.7,-18.3,-31.099999999999998,-16.099999999999998
