quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-23376.0,-18779.0,-19387.0,-18646.0,-25397.0,-24415.0,-18171.0,-30745.0,-18154.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0
total costs [$],-17197.0,-11616.0,7068.0,-17671.0,-26100.0,-33424.0,-15367.0,-30042.0,-17944.0
total future costs [$],-30465.0,-25869.0,-26477.0,-25735.0,-32486.0,-31504.0,-25261.0,-37835.0,-25244.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0
total present value operations costs [$],-16891.0,-13569.0,-14008.0,-13473.0,-18351.0,-17642.0,-13130.0,-22216.0,-13118.0
total present value insurance costs [$],901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
total present value maintenance costs [$],-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0
total present value costs [$],-9064.0,-4759.0,14095.0,-10852.0,-17408.0,-25003.0,-8678.0,-19865.0,-11260.0
total present value future costs [$],-22332.0,-19011.0,-19451.0,-18915.0,-23793.0,-23083.0,-18572.0,-27658.0,-18560.0
total emissions [tCO$_2$-eq.],-40.6,-31.1,-31.800000000000004,-30.799999999999997,-45.7,-43.2,-34.0,-55.699999999999996,-30.200000000000003
