quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-9088.0,-7283.0,-7654.0,-7125.0,-9739.0,-9449.0,-6353.0,-11988.0,-7091.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0
total costs [$],-6572.0,-3782.0,15141.0,-9813.0,-14105.0,-22120.0,-7211.0,-14947.0,-10543.0
total future costs [$],-19840.0,-18034.0,-18404.0,-17877.0,-20491.0,-20200.0,-17105.0,-22740.0,-17843.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-7195.0,-5766.0,-6059.0,-5641.0,-7711.0,-7481.0,-5029.0,-9490.0,-5614.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0
total present value costs [$],-3644.0,-1231.0,17769.0,-7294.0,-11042.0,-19118.0,-4853.0,-11415.0,-8031.0
total present value future costs [$],-16912.0,-15483.0,-15776.0,-15358.0,-17428.0,-17198.0,-14747.0,-19208.0,-15331.0
total emissions [tCO$_2$-eq.],-22.200000000000003,-16.599999999999998,-17.000000000000004,-16.4,-25.2,-23.7,-18.3,-31.099999999999998,-16.099999999999998
