quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-16883.0,-13587.0,-13854.0,-13628.0,-18516.0,-17689.0,-14045.0,-22162.0,-13069.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0
total costs [$],-10645.0,-6366.0,12661.0,-12594.0,-19161.0,-26640.0,-11181.0,-21400.0,-12801.0
total future costs [$],-23913.0,-20618.0,-20884.0,-20658.0,-25547.0,-24720.0,-21075.0,-29193.0,-20101.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0
total present value operations costs [$],-12199.0,-9817.0,-10011.0,-9847.0,-13380.0,-12782.0,-10148.0,-16014.0,-9444.0
total present value insurance costs [$],901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
total present value maintenance costs [$],-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0
total present value costs [$],-4331.0,-965.0,18136.0,-7183.0,-12393.0,-20102.0,-5654.0,-13620.0,-7543.0
total present value future costs [$],-17599.0,-15217.0,-15409.0,-15247.0,-18778.0,-18182.0,-15548.0,-21413.0,-14843.0
total emissions [tCO$_2$-eq.],-48.919999999999995,-37.849999999999994,-37.97,-38.19,-55.510000000000005,-52.08,-44.87,-66.39,-36.43
