quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-18592.0,-14957.0,-15294.0,-14967.0,-20347.0,-19467.0,-15233.0,-24417.0,-14404.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6760.0,-6760.0,-6760.0,-6760.0,-6760.0,-6760.0,-6760.0,-6760.0,-6760.0
total costs [$],-12225.0,-7605.0,11351.0,-13804.0,-20862.0,-28287.0,-12240.0,-23525.0,-14004.0
total future costs [$],-25493.0,-21858.0,-22194.0,-21867.0,-27248.0,-26367.0,-22134.0,-31318.0,-21304.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0
total present value operations costs [$],-13435.0,-10807.0,-11052.0,-10815.0,-14703.0,-14067.0,-11007.0,-17644.0,-10407.0
total present value insurance costs [$],901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
total present value maintenance costs [$],-4885.0,-4885.0,-4885.0,-4885.0,-4885.0,-4885.0,-4885.0,-4885.0,-4885.0
total present value costs [$],-5472.0,-1860.0,17188.0,-8057.0,-13622.0,-21292.0,-6419.0,-15156.0,-8413.0
total present value future costs [$],-18740.0,-16113.0,-16357.0,-16120.0,-20008.0,-19372.0,-16313.0,-22949.0,-15713.0
total emissions [tCO$_2$-eq.],-27.89999999999999,-20.709999999999997,-22.239999999999995,-19.64,-30.710000000000008,-29.500000000000007,-18.120000000000005,-39.230000000000004,-20.589999999999996
