quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-12529.0,-10065.0,-10388.0,-9996.0,-13615.0,-13087.0,-9755.0,-16477.0,-9729.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0
total costs [$],-6291.0,-2843.0,16127.0,-8964.0,-14259.0,-22037.0,-6892.0,-15716.0,-9460.0
total future costs [$],-19559.0,-17096.0,-17419.0,-17027.0,-20645.0,-20117.0,-16786.0,-23509.0,-16760.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0
total present value operations costs [$],-9053.0,-7273.0,-7506.0,-7223.0,-9838.0,-9456.0,-7049.0,-11906.0,-7030.0
total present value insurance costs [$],901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
total present value maintenance costs [$],-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0
total present value costs [$],-1184.0,1580.0,20640.0,-4559.0,-8851.0,-16776.0,-2554.0,-9513.0,-5130.0
total present value future costs [$],-14452.0,-12672.0,-12906.0,-12623.0,-15237.0,-14856.0,-12448.0,-17306.0,-12430.0
total emissions [tCO$_2$-eq.],3.6000000000000085,5.050000000000004,1.2199999999999989,8.410000000000004,6.61999999999999,4.410000000000011,22.910000000000004,1.3900000000000006,3.1099999999999994
