quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-15529.0,-12499.0,-12734.0,-12544.0,-17041.0,-16274.0,-12972.0,-20383.0,-12019.0
total insurance costs [$],1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
total maintenance costs [$],-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0
total costs [$],-14649.0,-10635.0,8423.0,-16869.0,-23044.0,-30582.0,-15466.0,-24978.0,-17107.0
total future costs [$],-27917.0,-24887.0,-25123.0,-24932.0,-29429.0,-28662.0,-25360.0,-32771.0,-24407.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0
total present value operations costs [$],-13482.0,-10852.0,-11056.0,-10891.0,-14795.0,-14129.0,-11261.0,-17695.0,-10435.0
total present value insurance costs [$],891.0,891.0,891.0,891.0,891.0,891.0,891.0,891.0,891.0
total present value maintenance costs [$],-5136.0,-5136.0,-5136.0,-5136.0,-5136.0,-5136.0,-5136.0,-5136.0,-5136.0
total present value costs [$],-11775.0,-8160.0,10930.0,-14388.0,-19971.0,-27610.0,-12928.0,-21464.0,-14696.0
total present value future costs [$],-25043.0,-22412.0,-22616.0,-22451.0,-26356.0,-25690.0,-22822.0,-29257.0,-21996.0
total emissions [tCO$_2$-eq.],3.700000000000003,5.0,1.6999999999999957,7.899999999999999,6.299999999999997,4.399999999999999,20.299999999999997,1.7999999999999972,3.3000000000000043
