quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-17028.0,-13703.0,-13972.0,-13745.0,-18674.0,-17841.0,-14164.0,-22352.0,-13182.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0
total costs [$],-10849.0,-6541.0,12484.0,-12770.0,-19379.0,-26851.0,-11360.0,-21648.0,-12971.0
total future costs [$],-24117.0,-20793.0,-21062.0,-20834.0,-25764.0,-24931.0,-21254.0,-29441.0,-20271.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0
total present value operations costs [$],-12303.0,-9902.0,-10096.0,-9932.0,-13494.0,-12891.0,-10235.0,-16151.0,-9525.0
total present value insurance costs [$],901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
total present value maintenance costs [$],-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0
total present value costs [$],-4477.0,-1092.0,18008.0,-7310.0,-12550.0,-20253.0,-5783.0,-13800.0,-7667.0
total present value future costs [$],-17745.0,-15344.0,-15538.0,-15373.0,-18936.0,-18333.0,-15677.0,-21593.0,-14967.0
total emissions [tCO$_2$-eq.],-49.4,-38.2,-38.300000000000004,-38.599999999999994,-56.10000000000001,-52.6,-45.3,-67.0,-36.800000000000004
